WigleWifi-1.4,appRelease=2.26,model=SM-G950F,release=7.0,device=dreamlte,display=NRD90M.G950FXXU1AQJ5,board=universal8895,CurrentLongitude,brand=samsung,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
,,,2017-12-03 08:55:40,,,32.10412387,35.21091349,700.0,,
,,,2017-12-03 08:54:03,,,32.10406321,35.20902709,685.0,,
,,,2017-12-03 08:55:51,,,32.10434812,35.21150642,698.0,,
,,,2017-12-03 08:54:00,,,32.10419361,35.20917533,685.0,,
,,,2017-12-03 08:53:51,,,32.10448173,35.20960715,687.0,,
,,,2017-12-03 08:53:27,,,32.10503208,35.21092655,687.0,,
,,,2017-12-03 08:54:27,,,32.10282362,35.20871899,688.0,,
,,,2017-12-03 08:53:39,,,32.1048406,35.21025994,688.0,,
,,,2017-12-03 08:53:36,,,32.10490203,35.21044203,686.0,,
,,,2017-12-03 08:54:21,,,32.10318952,35.20873143,684.0,,
,,,2017-12-03 08:54:30,,,32.10263124,35.20876629,687.0,,
,,,2017-12-03 08:55:15,,,32.10305306,35.20978446,693.0,,
,,,2017-12-03 08:55:48,,,32.10423611,35.21138319,700.0,,
,,,2017-12-03 08:53:24,,,32.1050222,35.21107852,689.0,,
,,,2017-12-03 08:53:45,,,32.10466627,35.20990936,687.0,,
,,,2017-12-03 08:56:08,,,32.10488619,35.21135337,698.0,,
,,,2017-12-03 08:54:00,,,32.10419361,35.20917533,685.0,,
,,,2017-12-03 08:54:39,,,32.10212198,35.20912829,688.0,,
,,,2017-12-03 08:53:39,,,32.1048406,35.21025994,688.0,,
,,,2017-12-03 08:55:15,,,32.10305306,35.20978446,693.0,,
,,,2017-12-03 08:54:18,,,32.10333565,35.20874462,687.0,,
,,,2017-12-03 08:53:24,,,32.1050222,35.21107852,689.0,,
,,,2017-12-03 08:53:42,,,32.10475343,35.21007474,689.0,,
,,,2017-12-03 08:54:21,,,32.10318952,35.20873143,684.0,,
,,,2017-12-03 08:53:54,,,32.10440239,35.20946023,687.0,,
,,,2017-12-03 08:55:48,,,32.10423611,35.21138319,700.0,,
,,,2017-12-03 08:55:51,,,32.10434812,35.21150642,698.0,,
,,,2017-12-03 08:55:51,,,32.10434812,35.21150642,698.0,,
,,,2017-12-03 08:53:45,,,32.10466627,35.20990936,687.0,,
,,,2017-12-03 08:54:30,,,32.10263124,35.20876629,687.0,,
,,,2017-12-03 08:55:15,,,32.10305306,35.20978446,693.0,,
,,,2017-12-03 08:53:54,,,32.10440239,35.20946023,687.0,,
,,,2017-12-03 08:54:15,,,32.10346795,35.20875946,686.0,,
,,,2017-12-03 08:54:33,,,32.10244119,35.20884914,686.0,,
,,,2017-12-03 08:54:48,,,32.10199722,35.2098381,693.0,,
,,,2017-12-03 08:54:00,,,32.10419361,35.20917533,685.0,,
,,,2017-12-03 08:54:27,,,32.10282362,35.20871899,688.0,,
,,,2017-12-03 08:53:45,,,32.10466627,35.20990936,687.0,,
,,,2017-12-03 08:54:39,,,32.10212198,35.20912829,688.0,,
,,,2017-12-03 08:55:33,,,32.10392655,35.21040928,695.0,,
,,,2017-12-03 08:55:36,,,32.10403138,35.21064312,697.0,,
,,,2017-12-03 08:54:51,,,32.10212708,35.20998301,692.0,,
,,,2017-12-03 08:54:18,,,32.10333565,35.20874462,687.0,,
,,,2017-12-03 08:54:36,,,32.1022576,35.20894955,688.0,,
,,,2017-12-03 08:55:11,,,32.10290524,35.20983303,694.0,,
,,,2017-12-03 08:53:08,,,32.10487307,35.21134308,692.0,,
,,,2017-12-03 08:54:00,,,32.10419361,35.20917533,685.0,,
,,,2017-12-03 08:55:20,,,32.10330416,35.20979335,695.0,,
,,,2017-12-03 08:54:42,,,32.1020322,35.20935702,689.0,,
,,,2017-12-03 08:55:48,,,32.10423611,35.21138319,700.0,,
,,,2017-12-03 08:53:36,,,32.10490203,35.21044203,686.0,,
,,,2017-12-03 08:56:00,,,32.10476714,35.2115156,696.0,,
,,,2017-12-03 08:55:11,,,32.10290524,35.20983303,694.0,,
,,,2017-12-03 08:54:24,,,32.10301827,35.20871988,685.0,,
,,,2017-12-03 08:54:03,,,32.10406321,35.20902709,685.0,,
,,,2017-12-03 08:54:18,,,32.10333565,35.20874462,687.0,,
,,,2017-12-03 08:54:27,,,32.10282362,35.20871899,688.0,,
,,,2017-12-03 08:55:42,,,32.10415215,35.21101715,700.0,,
,,,2017-12-03 08:53:57,,,32.10430866,35.20932755,687.0,,
,,,2017-12-03 08:54:48,,,32.10199722,35.2098381,693.0,,
,,,2017-12-03 08:55:30,,,32.10379261,35.21019984,694.0,,
,,,2017-12-03 08:53:39,,,32.1048406,35.21025994,688.0,,
,,,2017-12-03 08:54:51,,,32.10212708,35.20998301,692.0,,
,,,2017-12-03 08:53:42,,,32.10475343,35.21007474,689.0,,
,,,2017-12-03 08:55:30,,,32.10379261,35.21019984,694.0,,
,,,2017-12-03 08:55:30,,,32.10379261,35.21019984,694.0,,
,,,2017-12-03 08:54:00,,,32.10419361,35.20917533,685.0,,
,,,2017-12-03 08:54:03,,,32.10406321,35.20902709,685.0,,
,,,2017-12-03 08:54:03,,,32.10406321,35.20902709,685.0,,
,,,2017-12-03 08:56:08,,,32.10488619,35.21135337,698.0,,
,,,2017-12-03 08:54:21,,,32.10318952,35.20873143,684.0,,
,,,2017-12-03 08:54:33,,,32.10244119,35.20884914,686.0,,
,,,2017-12-03 08:55:30,,,32.10379261,35.21019984,694.0,,
,,,2017-12-03 08:53:45,,,32.10466627,35.20990936,687.0,,
,,,2017-12-03 08:55:40,,,32.10412387,35.21091349,700.0,,
,,,2017-12-03 08:55:17,,,32.10314139,35.20977295,693.0,,
,,,2017-12-03 08:54:00,,,32.10419361,35.20917533,685.0,,
,,,2017-12-03 08:54:48,,,32.10199722,35.2098381,693.0,,
,,,2017-12-03 08:53:45,,,32.10466627,35.20990936,687.0,,
,,,2017-12-03 08:54:54,,,32.10226153,35.21003281,694.0,,
,,,2017-12-03 08:54:12,,,32.10359721,35.20878096,686.0,,
,,,2017-12-03 08:55:15,,,32.10305306,35.20978446,693.0,,
,,,2017-12-03 08:54:15,,,32.10346795,35.20875946,686.0,,
,,,2017-12-03 08:55:25,,,32.10357832,35.20992695,694.0,,
,,,2017-12-03 08:54:33,,,32.10244119,35.20884914,686.0,,
,,,2017-12-03 08:54:21,,,32.10318952,35.20873143,684.0,,
,,,2017-12-03 08:55:45,,,32.10418089,35.21118813,699.0,,
,,,2017-12-03 08:54:33,,,32.10244119,35.20884914,686.0,,
,,,2017-12-03 08:53:42,,,32.10475343,35.21007474,689.0,,
,,,2017-12-03 08:54:21,,,32.10318952,35.20873143,684.0,,
,,,2017-12-03 08:56:00,,,32.10476714,35.2115156,696.0,,
,,,2017-12-03 08:53:33,,,32.10495375,35.21060853,686.0,,
,,,2017-12-03 08:53:36,,,32.10490203,35.21044203,686.0,,
,,,2017-12-03 08:55:15,,,32.10305306,35.20978446,693.0,,
,,,2017-12-03 08:53:08,,,32.10487307,35.21134308,692.0,,
,,,2017-12-03 08:54:06,,,32.10391893,35.20892354,686.0,,
,,,2017-12-03 08:54:03,,,32.10406321,35.20902709,685.0,,
,,,2017-12-03 08:53:36,,,32.10490203,35.21044203,686.0,,
,,,2017-12-03 08:53:39,,,32.1048406,35.21025994,688.0,,
,,,2017-12-03 08:54:00,,,32.10419361,35.20917533,685.0,,
,,,2017-12-03 08:56:02,,,32.10481492,35.2114539,695.0,,
,,,2017-12-03 08:54:24,,,32.10301827,35.20871988,685.0,,
,,,2017-12-03 08:56:05,,,32.10487501,35.21137457,697.0,,
,,,2017-12-03 08:53:42,,,32.10475343,35.21007474,689.0,,
,,,2017-12-03 08:55:48,,,32.10423611,35.21138319,700.0,,
,,,2017-12-03 08:53:45,,,32.10466627,35.20990936,687.0,,
,,,2017-12-03 08:54:51,,,32.10212708,35.20998301,692.0,,
,,,2017-12-03 08:55:33,,,32.10392655,35.21040928,695.0,,
,,,2017-12-03 08:55:15,,,32.10305306,35.20978446,693.0,,
,,,2017-12-03 08:55:42,,,32.10415215,35.21101715,700.0,,
,,,2017-12-03 08:54:30,,,32.10263124,35.20876629,687.0,,
,,,2017-12-03 08:54:48,,,32.10199722,35.2098381,693.0,,
,,,2017-12-03 08:53:51,,,32.10448173,35.20960715,687.0,,
,,,2017-12-03 08:54:12,,,32.10359721,35.20878096,686.0,,
,,,2017-12-03 08:54:30,,,32.10263124,35.20876629,687.0,,
,,,2017-12-03 08:54:45,,,32.10196459,35.20960153,690.0,,
,,,2017-12-03 08:54:15,,,32.10346795,35.20875946,686.0,,
,,,2017-12-03 08:55:33,,,32.10392655,35.21040928,695.0,,
,,,2017-12-03 08:54:36,,,32.1022576,35.20894955,688.0,,
,,,2017-12-03 08:55:20,,,32.10330416,35.20979335,695.0,,
,,,2017-12-03 08:53:39,,,32.1048406,35.21025994,688.0,,
,,,2017-12-03 08:54:36,,,32.1022576,35.20894955,688.0,,
,,,2017-12-03 08:55:20,,,32.10330416,35.20979335,695.0,,
,,,2017-12-03 08:54:27,,,32.10282362,35.20871899,688.0,,
,,,2017-12-03 08:54:30,,,32.10263124,35.20876629,687.0,,
,,,2017-12-03 08:55:48,,,32.10423611,35.21138319,700.0,,
,,,2017-12-03 08:54:27,,,32.10282362,35.20871899,688.0,,
,,,2017-12-03 08:55:30,,,32.10379261,35.21019984,694.0,,
,,,2017-12-03 08:54:48,,,32.10199722,35.2098381,693.0,,
,,,2017-12-03 08:54:27,,,32.10282362,35.20871899,688.0,,
,,,2017-12-03 08:54:15,,,32.10346795,35.20875946,686.0,,
,,,2017-12-03 08:55:25,,,32.10357832,35.20992695,694.0,,
,,,2017-12-03 08:54:09,,,32.10376365,35.20883622,686.0,,
,,,2017-12-03 08:54:36,,,32.1022576,35.20894955,688.0,,
,,,2017-12-03 08:54:03,,,32.10406321,35.20902709,685.0,,
,,,2017-12-03 08:54:09,,,32.10376365,35.20883622,686.0,,
,,,2017-12-03 08:53:45,,,32.10466627,35.20990936,687.0,,
,,,2017-12-03 08:54:03,,,32.10406321,35.20902709,685.0,,
,,,2017-12-03 08:55:30,,,32.10379261,35.21019984,694.0,,
,,,2017-12-03 08:55:48,,,32.10423611,35.21138319,700.0,,
,,,2017-12-03 08:54:48,,,32.10199722,35.2098381,693.0,,
,,,2017-12-03 08:54:09,,,32.10376365,35.20883622,686.0,,
,,,2017-12-03 08:53:54,,,32.10440239,35.20946023,687.0,,
,,,2017-12-03 08:54:21,,,32.10318952,35.20873143,684.0,,
,,,2017-12-03 08:54:39,,,32.10212198,35.20912829,688.0,,
,,,2017-12-03 08:54:24,,,32.10301827,35.20871988,685.0,,
,,,2017-12-03 08:55:48,,,32.10423611,35.21138319,700.0,,
,,,2017-12-03 08:54:24,,,32.10301827,35.20871988,685.0,,
,,,2017-12-03 08:55:40,,,32.10412387,35.21091349,700.0,,
,,,2017-12-03 08:54:30,,,32.10263124,35.20876629,687.0,,
,,,2017-12-03 08:54:21,,,32.10318952,35.20873143,684.0,,
,,,2017-12-03 08:55:20,,,32.10330416,35.20979335,695.0,,
,,,2017-12-03 08:55:54,,,32.10450422,35.21158147,698.0,,
,,,2017-12-03 08:53:36,,,32.10490203,35.21044203,686.0,,
,,,2017-12-03 08:54:51,,,32.10212708,35.20998301,692.0,,
,,,2017-12-03 08:53:48,,,32.10457483,35.20975804,687.0,,
,,,2017-12-03 08:53:39,,,32.1048406,35.21025994,688.0,,
,,,2017-12-03 08:55:33,,,32.10392655,35.21040928,695.0,,
,,,2017-12-03 08:54:03,,,32.10406321,35.20902709,685.0,,
,,,2017-12-03 08:54:39,,,32.10212198,35.20912829,688.0,,
,,,2017-12-03 08:56:02,,,32.10481492,35.2114539,695.0,,
,,,2017-12-03 08:53:45,,,32.10466627,35.20990936,687.0,,
,,,2017-12-03 08:54:18,,,32.10333565,35.20874462,687.0,,
,,,2017-12-03 08:54:24,,,32.10301827,35.20871988,685.0,,
,,,2017-12-03 08:53:39,,,32.1048406,35.21025994,688.0,,
,,,2017-12-03 08:56:08,,,32.10488619,35.21135337,698.0,,
,,,2017-12-03 08:55:11,,,32.10290524,35.20983303,694.0,,
,,,2017-12-03 08:55:11,,,32.10290524,35.20983303,694.0,,
,,,2017-12-03 08:53:39,,,32.1048406,35.21025994,688.0,,
,,,2017-12-03 08:54:21,,,32.10318952,35.20873143,684.0,,
,,,2017-12-03 08:54:48,,,32.10199722,35.2098381,693.0,,
,,,2017-12-03 08:55:40,,,32.10412387,35.21091349,700.0,,
,,,2017-12-03 08:55:15,,,32.10305306,35.20978446,693.0,,
,,,2017-12-03 08:53:42,,,32.10475343,35.21007474,689.0,,
,,,2017-12-03 08:54:33,,,32.10244119,35.20884914,686.0,,
,,,2017-12-03 08:54:09,,,32.10376365,35.20883622,686.0,,
,,,2017-12-03 08:54:33,,,32.10244119,35.20884914,686.0,,
,,,2017-12-03 08:54:36,,,32.1022576,35.20894955,688.0,,
,,,2017-12-03 08:54:27,,,32.10282362,35.20871899,688.0,,
,,,2017-12-03 08:53:42,,,32.10475343,35.21007474,689.0,,
,,,2017-12-03 08:53:42,,,32.10475343,35.21007474,689.0,,
,,,2017-12-03 08:54:27,,,32.10282362,35.20871899,688.0,,
,,,2017-12-03 08:53:48,,,32.10457483,35.20975804,687.0,,
,,,2017-12-03 08:54:36,,,32.1022576,35.20894955,688.0,,
,,,2017-12-03 08:54:42,,,32.1020322,35.20935702,689.0,,
